id,locationName,latitude,longitude,description
1,Al Dafna (Ras Al Mashia before),24.45050278,52.42675,"It was called ancient head of cattle and now it is called burial because it is an area that was buried, which is a vast area in the southern part of Dalma Island covered with white sand. Section."
2,Al Bandar,24.47930556,52.38183333,"It means the port, and this is considered the old Bandar Dalma, as diving ships in this port used to come to provide water and food from the island."
3,The New Dalma,24.48096667,52.39241667,"This region is distinguished by being the first neighborhood that includes popular houses that Sheikh Zayed, may God have mercy on him, ordered to build in the 1970s, for the citizens of Dalma Island, but there was no trace of these houses now, and the people of Dalma called it the New Countries."
4,The Old Souq,24.48199167,52.35111111,"It was located in an area close to the island's residents and also close to the sea, where divers used to take their supplies."
5,The Old Dalma,24.48230833,52.34802778,"It is considered the living residential area of __Dalma Island before the establishment of the Union, as the people of Dalma called it the old countries after they moved to new housing after the establishment of the Union, where Sheikh Zayed, may God have mercy on him, ordered the construction of popular housing for citizens of Dalma Island."
6,Shu'obat Hazim,24.49110278,52.38858333,"The Division is places where rainwater collects and runs between mountains, and the Hazim Division used to collect rain water and drain into the sea."
7,Al Qattara,24.48415278,52.40008333,"A group of bitter water wells that were used by the people of Dalma for purposes other than drinking, and they were characterized by their coldness in the summer."
8,Islamic remains area (The graveyard),24.48521389,52.338,The cemetery contains many artifacts from the modern Islamic era. It was still used as a cemetery until the beginning of the nineties and then closed after the artifacts were found and included under the archaeological sites on Dalma Island.
9,Abu Umama Mountain,24.48842778,52.43780556,"A relatively small mountain located near the coast of the island, and the arrivals to Dalma were inferred by this prominent mountain, and there are two opinions for the reason for its name, the first being that it was wrapped up in the old white sail ships and seen from afar as if it was wearing a turban, and the other opinion that its upper part stands out as if it is a turban. Now the mountain has been entered within the scope of the Palace of His Highness Sheikh Zayed, may God have mercy on him."
10,Ras Al Hiyam,24.48759167,52.38833333,"One of the beaches of Dalma Island, named after the head of the wanderer, relative to the wanderer."
11,Al Biyadha,24.51975278,52.32455556,"A beautiful beach characterized by white sand and extends to the head of Western Gypsum, and the egg is called the beach, which is white sand."
12,Ras Aljibs Algharbi,24.50949722,52.40830556,This beach is called the Western Gypsum Head and it extends until the start of the new resort project. We have not found a reason or meaning for this designation yet.
13,Um Al Qawaser,24.52543056,52.35680556,"Another beautiful beach, called the ancient Dalma people, is the mother of Al-Qawasir. It is characterized by huge stones along the beach. We have not found a reason or meaning for this designation yet."
14,Fuhaiheel,24.52968611,52.38166667,"The name is given to a beach from Dalma, where some palm trees are planted. Shamma Hazeem Al Qubaisi states that her mother, Banana Al Qubaisi, was the one who planted palm trees here and there was drinking water in this place and divers came to supply water from him."
15,Khourat Atiya,24.5361,52.41058333,"Al-Khora means the abundant area of __the sea, Khorat-Atiya is one of the sites that Dalma residents go to fishing and it is known as the mountain opposite it on the beach and it is called its mountain. As for the reason for naming Al-Khora it is not yet known."
16,Khourat Atiyya's mountain,24.53210556,52.44277778,"The mountain opposite Khorat Atiya is close to the shore, and it inferred from Khora."
17,Ras Halloum,24.53718056,52.33188889,"One of the mountains facing one of the beaches of the island, and we have not found a reason for calling it by this date."
18,Qassar abu Al thorouq,24.54082222,52.43883333,"Al-Qassar, which is the huge rock that is in the middle of the sea, and its upper part appears on the surface of the sea. This short was called Abu Al-Drouk because the birds were gathering and needed for it."
19,Khourat Yaeed,24.53775556,52.34827778,"The name is given to a pool of sea water, which is like a deep lake surrounded by mangroves, which he brought from the late Sir Bani Yas Island, Saeed Bin Gharib Al Mazrouei, a resident of Dalma Island, and cultivated it on the island, as it was not cultivated there before."
20,Ras Al Jibs Al Sharqi,24.52841111,52.33955556,One of the beaches of the island and does not know the reason for its name so far.
21,Al miyyanna,24.52378333,52.34933333,"A beach near Delma Island airport. Previously, when the waters receded slightly, men entered baskets and gathered oysters near this beach."
22,Jarn Al Safafeer Mountain,24.490225,52.34283333,"It is a prominent mountain on Dalma Island. Geographers mention that it is a dormant volcano. In the middle of it was a large and deep opening recently buried. As for its name, it was called sapphires relative to zero, which is copper metal, and it might be a place for beeps and they are the ones who manufacture, amend, and polish copper vessels."
23,Al Manyoukh Mountain,24.50308333,52.43375,"A mountain in Dalma Island facing the beach, and it is not known why it is named yet. And the women remember in the past that when they went to collect firewood and the night camped on them, they lost the way back, they were going on this mountain and chanting ""We are your guests, the claymen"" until one of the men notices their absence and comes to bring them."
24,Bait Al Mouraikhi,24.48221389,52.34541667,"The house of the late Muhammad bin Jassim Al-Muraikhi, the most famous and largest pearl merchant on Dalma Island. The house was built in the thirties of the last century. In the 1990s it was converted into a museum of Dalma Island."
25,Al Muhanadi Mosque,24.48201944,52.35647222,"A mosque built by Saeed bin Ali Al Muhannadi in 1946 AD, and it is the only mosque in the historic Dalma mosques in which prayer is still held since its construction and until now. The five daily prayers and Friday prayers were performed."
26,Al Dawsari mosque,24.4825,52.35661111,"Rashid bin Fahad Al Dossari Mosque, which is the smallest mosque in the island, was built in the year 1931 AD."
27,Al Mouraikhi Mosque,24.48253056,52.34936111,"Built by Muhammed bin Jassim Al-Muraikhi, a well-known pearl merchant from the beach stone and coral, and covered with stucco exterior, it is considered the oldest mosque on Dalma Island to date."
28,Al Buhouth,24.48079722,52.32966667,"A group of drinking water wells, now replaced by farms distributed to citizens after the establishment of the Federation."
