ID,locationName,latitude,longitude,description,Topics,SubjectTags,CompiledTags,Text,NameofAudioFile,NamesofImages,NameofVideo(s),LinktoAudio,LinktoImages,LinktoVideo(s),TranscriptOne,TranscriptTwo
1,Al Dafna (Ras Al Mashia before),24.450503,52.312675,"It used to be called ""Ancient Head of Cattle,"" but is now called ""The Burial"" because it is an area that has been buried. It is a vast area in the southern part of Dalma Island covered with white sand. ",,,,,,,,,,,,
2,New Delma,24.480967,52.309242,"This region is distinguished by being the first neighborhood that includes the popular houses that Sheikh Zayed, may God have mercy on him, ordered to build in the 1970s. These were built for the citizens of Delma Island, and many of these house are abandonnned now as people have moved to Abu Dhabi for jobs. The people of Delma call it the New Land",,,,,,,,,,,,
3,The Old Souq,24.481992,52.305111,"The Old Souq was located in an area close to the island's residents and close to the sea, where divers used to take their supplies. It is now an empty lot.",,,,,,,,,,,,
4,Old Delma,24.482308,52.304803,It is considered the living residential area of ​​Dalma Island before the establishment of the Union. The people of Delma called it the Old Land after they moved to the new housing when the Union was established. Some old walls remain. ,"Lifestyle and Culture,Archaeology and History,Gender,Maritime Economy","Construction,Agriculture/Farms,Natural Areas,Clothing,Food,Shops/Businesses","Lifestyle and Culture,Archaeology and History,Gender,Maritime Economy,Construction,Agriculture/Farms,Natural Areas,Clothing,Food,Shops/Businesses",https://docs.google.com/document/d/1DrnEQGoNi8UFGs_jxjP_teouR6flPFxKrxNrM1wThb0/edit?usp=sharing,Fathi Part 5.m4a,,,https://drive.google.com/file/d/1ZuOClx1YgV_UJjpRmReFuMzqp3EXdfBh/view?usp=sharing,,,"<div class=""interviewHeader"">Interview with Mrs. Aisha bint Saeed Al Mazrouei (55 y/o)</div><div class=""interviewOtherInfoNoMarginBottom"">Date: 1/6/2020</div><div class=""interviewOtherInfo"">Interviewer: Salama Al Qubaisi</div>
<div class=""questionTranscript"">Salama: Who made the clothes for you?</div><div class=""answerTranscript"">Aisha: At that time, there were expert tailors of Indian nationality in Abu Dhabi and Qatar.</div>
<div class=""questionTranscript"">Salama: Were there specific designs for the clothes?</div><div class=""answerTranscript"">Aisha: Yes, in the past women used to design the so-called Hiyasa, and then a new design came and was called koloush.</div>
<div class=""questionTranscript"">Salama: My father used to tell me that his mother used to sew men’s clothes. Do you remember that?</div><div class=""answerTranscript"">Aisha: No, that is before my time. When I became aware of the world, tailors came from India and were in Abu Dhabi and Qatar. But women still sewed simple clothes for children. Married women, especially in the past, always wore the so-called “Thoub” over the kandora , which is a very thin and loose piece of cloth. But after the emergence of the Hiyasa design, they became a little bit less likely to wear the “Thoub” over their clothes. As for us unmarried girls, we used to put a light piece of cloth to cover our hair which was called ""Fareed's Tear.""</div>
<div class=""questionTranscript"">Salama: Do you remember when women used to make incense (bakhour)”?</div><div class=""answerTranscript"">Aisha: Yes, I remember that my mother used to make incense and it smelled more fragrant than now.</div>
<div class=""questionTranscript"">Salama: Where did the women buy the ingredients from?</div><div class=""answerTranscript"">Aisha: Your grandfather (Khamis Al Qubaisi) used to bring them from Dubai to Delma Island. He used to bring musk, amber and oud and its price was cheap compared with nowadays. Women used to make incense using those perfumes and crushed agar wood, and they used to pound it until it became more soft and put musk or rose oil with it. They formed it to tablets, and it smells remained for a long time. Our mud houses used to absorb the smell more than now, so when we burnt incense in the house at night, next morning, we find the smell very beautiful and fragrant.</div>
<div class=""questionTranscript"">Salama: What about the Burqa? Do you remember when you first wore it, and who used to make the burqa before?</div><div class=""answerTranscript"">Aisha: Yes, I remember when I put it on, I covered my face and refused to eat with my family. I did not want anyone to see me as an attempt to persuade my family not to wear it. but I did not succeed, and in the past the burqa was bigger than now. As for making it, women were the ones who made it. I remember then way my mother and Mrs. Fatima bint Hamad Al Mazrouei making it, but now Indian men are the ones who do so now.</div>
<div class=""questionTranscript"">Salama: What about the embroidery (talli) making?</div><div class=""answerTranscript"">Aisha: The talli making is considered a tradition, and most women used to make it, and then it is sewn on top of the piece of cloth. Different shiny color of threads are sewn in a certain way with each other with a tool called kojaja and then it is sewn on the piece of clothing as an adornment. I learned how to make it from my mother.</div>
<div class=""questionTranscript"">Salama: Tell me about your simple daily life before. What do you remember about it?</div><div class=""answerTranscript"">Aisha: I remember that my mother had a cow from Oman, and my mother used to make semna (ghee) from its milk, which we use in most of our traditional food. I remember that my older sister used to bake cakes in a box of Macintosh, which is a metal box that was sold with various chocolates called ""Macintosh Quality Street Chocolates."" We were happy when it would rise in the box. I don't know how she was preparing it on the fire without an oven. One of the strange things is that we used to eat tea leaves when we were young, when our elders used to cook tea leaves, we would ask them to put it in a plate and put a lot of sugar on it and eat it. We thought it was dessert, and it should be eaten like this.</div>
<div class=""interviewHeader"">Interview with Fathi Mohammed Abdullah, Mid 50’s</div>
<div class=""subHeaderInterview"">Anecdote about when Fathi’s Role in Delma’s Archaeological Sites</div>
<div class=""questionTranscript"">Salama: Is the fence from before they discovered the site?</div><div class=""answerTranscript"">Fathi: No, this is an excellent question. There wasn’t a fence before, we discovered the pottery and saw that it was 100% an archaeological site, so we told the authorities… we didn’t have an authority for archaeology to begin with, and the Ministry of Culture and Tourism wasn’t there to begin with, but they came about with effort alhamdulillah. So, back then Sheikh Sultan bin Zayed, may God rest his soul, was in charge. We would call the agent so that he’d tell him that we had a site we needed to protect. So, one day I went there, and I was surprised to see the municipal authorities [baladiyya] and they had [mechanical] excavators and were going into the side. And of course, these were our enemies as archaeologists, we don’t want any machines in the site. Even if you go in on foot we worry.</div>



<div class=""subHeaderInterview"">Part Two</div>
<div class=""answerTranscript"">Fathi: So, I saw this and asked, “why are you here?” And they said, “we’re going in to repair the place and build a fence.” Anyway, I made an effort alone…  I mean, there was no one to back me up, and anyone could’ve asked me “who are you? You’re just a worker.” But alhamdulillah I called, we knew this man called [indiscernible], he’s still here in Dalma. He knew Sheikh Abdullah bin Zayed, and I had seen him visiting the site, back in ’97. So, I called him and said, we have this important site, and he told me to call Al Ain. So, I called Mr. Mohammed Ameri Al Nayadi, he was the head of archaeology in Al Ain, and Mr. Jaber Al Merri [?] So, we had four specialists in archaeology who could see the site and if it was or wasn’t an archaeological site. And it turned out that it was, so the authorities stopped construction there. Then they wanted to work near the cemeteries, and we said there’s no problem as long as you set up a fence around it for protection and work manually without machines. And alhamdulillah, to this day we’ve been able to preserve the site.</div>
<div class=""subHeaderInterview"">The Loss of Certain Artifacts</div>
<div class=""questionTranscript"">Salama: Yes. So, this was in the cemetery, and sir, you also mentioned that agriculture started over the areas, do you mean farms were built – </div><div class=""answerTranscript"">Fathi: See, Salama, all of Dalma… the historical area all the way to the His Highness’ palace, that’s all artifacts and ruins. They call this Old Dalma.   Maybe you’ve heard of Manyookh Dalma, and of Tal Abi ‘Amama, and of Sho’bet Hazeem, and of Fahaheel… all these places had artifacts. In Fahaheel, by the seaside, there was a palm tree – </div>
<div class=""questionTranscript"">Salama: Yes, it’s still there. </div> <div class=""answerTranscript"">Fathi: I went there, and I found Islamic pottery.</div>
<div class=""questionTranscript"">Salama: Really? Mashallah!</div><div class=""answerTranscript"">Fathi: But the problem was that Dalma developed quickly. No one would wait for you, they thought, “the archaeologists want to take their time.” And so, there was a race between us and between the construction. So, alhamdulillah, there were artifacts, and [we found them] in the historical area. All the way from the Old Souk to Fahaheel, this was the historical area [...] So, it’s full of artifacts. A lot of them are left and some of them were lost. For example, there were cemeteries in Tal Abi ‘Amama.</div>

<div class=""subHeaderInterview"">What Fathi Misses About his Role as an Archaeologist</div>
<div class=""questionTranscript"">Salama: So, sir, from 1993 to… now we’re in 2020. You’ve mentioned all these great things in Dalma, but I’m sure there are things about Dalma that have changed that you miss. What is something you miss from the old Dalma?</div>
<div class=""answerTranscript"">Fathi: What I miss... wallahi, there isn’t anything from the old Dalma, I don’t have anything I miss from the old Dalma. In terms of the old Dalma… of course I remember the old buildings…</div>
<div class=""questionTranscript"">Salama: I mean from ’93 till now… for example, have the people changed or the inhabitants? For example, Rashid Al Mazroui – </div>
<div class=""answerTranscript"">Fathi: May God rest his soul.</div>
<div class=""questionTranscript"">Salama: May God rest his soul. You mentioned you were close to him so, I mean, what have you noticed that you miss over the course of this period?</div>
<div class=""answerTranscript"">Fathi: Wallahi, I obviously missed Rashid as a friend and as a colleague, as an inhabitant he was deeply missed in Dalma, may God rest his soul. And as I was telling you, alhamdulillah all the family [ahl] are here in Dalma, especially your father, whenever I need anything, and so I haven’t really missed anything in Dalma [...] Alhamdulillah, my mission in Dalma, as a man specialized in archaeology, is to protect and preserve the artifacts in Dalma. If I was able to preserve or write a report, or on the simplest level, yesterday when the fence collapsed, and they were going to go in with tools and I refused –</div>
<div class=""answerTranscript"">[...]</div>
<div class=""questionTranscript"">Salama: So, you’ve followed up, mashallah –</div>
<div class=""answerTranscript"">Fathi: I’ve followed up and I also made a report to the manager, they were going to put a net up and he stopped it from being put up, and said the new fence has to be like the old fence. And as the authority for archaeology, we partnered with him and we keep track of the work and oversee the work, so we try to keep tabs on everything and work with them.</div>
<div class=""questionTranscript"">Salama: I mean, may God forgive the local authorities [baladiyya], their work and their perspective is always that [Dalma] should be like a modern city.</div>
<div class=""answerTranscript"">Fathi: And we have a different perspective because we care about the artifacts.</div>
<div class=""questionTranscript"">Salama: You have to follow up.</div>
<div class=""answerTranscript"">Fathi: Definitely, and alhamdulillah, the state is concerned with artifacts at the highest level and they’re seen as part of the heritage. Even Sheikh Hamdan bin Zayed, may God prolong his life, is very concerned with artifacts. Anything relating to artifacts, if you were to take it to the diwan, they care a great deal about artifacts and historical buildings, and it’ll be under his own supervision. He’s the one who’ll send someone to the site to monitor and evaluate the work and the results.</div>",
5,Shu'obat Hazim,24.491103,52.308858,"In English, ""The Division."" These are the places where rainwater collects and runs between mountains. The Hazim Division used to collect rainwater and drain into the sea.",,,,,,,,,,,,
6,Al Qattara,24.484153,52.310008,A group of bitter water wells that were used by the people of Delma for purposes other than drinking. They were characterized by their coldness in the summer.,,,,,,,,,,,,
7,Delma Graveyard,24.485214,52.303801,"The cemetery contains many artifacts from the modern Islamic era. It was still used as a cemetery until the early nineties, and then closed after artifacts were found and included under the archaeological sites on Dalma Island.",,,,,,,,,,,,
8,Abu Umama Mountain,24.488428,52.298781,"A relatively small mountain located near the island's coast. Arrivals to Dalma were greeted by this prominent mountain. There are two legends surrounding the mountain's name: the first being that it was wrapped up in the old white ship sails so that it could be seen from afar as if it was wearing a turban, and second that its upper part stands out as if it were a turban. Now the mountain is part  of the Palace of His Highness Sheikh Zayed, may God have mercy on him.",,,,,,,,,,,,
9,Ras Al Hiyam,24.487592,52.293833,"One of the beaches of Delma Island, which roughly translates into Head of the Wanderer.","Lifestyle and Culture,Maritime Economy ","Marriage,Food,Family,Natural Areas,Water,Fishing","Lifestyle and Culture,Maritime Economy,Marriage,Food,Family,Natural Areas,Water,Fishing",https://docs.google.com/document/d/1sGCLVmVX89Kkqrayz9gj6CutFSkmpOr9cPKve9m5aug/edit?usp=sharing,Fathi_2.m4a,,,https://drive.google.com/file/d/1q5gpbK9hmNOFHCs9MgkZ2bpzfTpgjZ5H/view?usp=sharing,,,"<div class=""interviewHeader"">Interview with Fathi Mohammed Abdullah, Mid 50’s</div>
<div class=""interviewOtherInfoNoMarginBottom"">Date: 01/20/2020</div>
<div class=""interviewOtherInfo"">Interviewer: Salama Al Qubaisi</div>
<div class=""subHeaderInterview"">How Fathi and his Family Spend their Time</div>

<div class=""questionTranscript"">Salama: Alright sir, so how did you spend your time in Dalma? Both in the past and now. Especially since you have young kids, they definitely want to go out, and – </div>

<div class=""answerTranscript"">Fathi: Wallahi, in Dalma the main resource we have available is the sea, and we would take advantage of the weekends and holidays… of course in the summer it was standard for them to go to the sea. They’d swim in the sea, shower in the sea, play [there]. An hour or two after asr they’d play in the sea. And sometimes, for example in the evenings, we’d go grill [have a barbeque] by the sea. The weather in Dalma is really beautiful in January, February, March… the weather is excellent then. So, we’d take some firewood and our friends and their families and sit by the sea and get [food] to grill, someone would bring meat, someone would bring fish, and we’d have dinner. So these were lovely days with the kids, with…</div>

<div class=""questionTranscript"">Salama: Although there are some people on Dalma who complain that there aren’t things to do for fun in Dalma, but what I’ve noticed is that there are people who are able to have a good time and make their kids happy even if there aren’t activities like [those] in the cities.</div>

<div class=""answerTranscript"">Fathi: I’m a firm believer that every person should engage with the environment they live in. Any environment. If you live in the desert, you engage with the desert. For instance, our ancestors, the Bedouins, would engage with the desert. What did they have? They had the tent and the camel and the herd, and they were living the best life, and they were satisfied [with this]. I live in Dalma because I’ve adapted to Dalma. What are the modes of entertainment I have here in Dalma? The sea. So, I can go to the sea, I can go to the gardens, I can go to the mountains and climb there, see the rocks. I’ve probably gone around every corner of Dalma, there’s not a spot I haven’t been to. For the sake of study and knowledge and work and culture. I even taught my kids how to examine [nature], for instance, what’s this stone? What color is it? “This stone is red,” or “this stone is green,” why is this one red and that one green? Why are these stones in Dalma? I fostered in my kids a love for mountains and the sea and studying [nature]. So, a person needs to adapt to the environment they live in. If I went, for example, to Abu Dhabi, I would also adapt myself to Abu Dhabi.</div>",
10,Al Biyadha,24.519753,52.287456,A beautiful beach characterized by white sand that extends to area of gypsum. The name means The Egg in English and is called that because of its white sands.,"Lifestyle and Culture,Maritime Economy ","Marriage,Food,Family,Natural Areas,Water,Fishing","Lifestyle and Culture,Maritime Economy,Marriage,Food,Family,Natural Areas,Water,Fishing",https://docs.google.com/document/d/1sGCLVmVX89Kkqrayz9gj6CutFSkmpOr9cPKve9m5aug/edit?usp=sharing,Fathi_2.m4a,,,https://drive.google.com/file/d/1q5gpbK9hmNOFHCs9MgkZ2bpzfTpgjZ5H/view?usp=sharing,,,"<div class=""interviewHeader"">Interview with Fathi Mohammed Abdullah, Mid 50’s</div>
<div class=""interviewOtherInfoNoMarginBottom"">Date: 01/20/2020</div>
<div class=""interviewOtherInfo"">Interviewer: Salama Al Qubaisi</div>
<div class=""subHeaderInterview"">How Fathi and his Family Spend their Time</div>

<div class=""questionTranscript"">Salama: Alright sir, so how did you spend your time in Dalma? Both in the past and now. Especially since you have young kids, they definitely want to go out, and – </div>

<div class=""answerTranscript"">Fathi: Wallahi, in Dalma the main resource we have available is the sea, and we would take advantage of the weekends and holidays… of course in the summer it was standard for them to go to the sea. They’d swim in the sea, shower in the sea, play [there]. An hour or two after asr they’d play in the sea. And sometimes, for example in the evenings, we’d go grill [have a barbeque] by the sea. The weather in Dalma is really beautiful in January, February, March… the weather is excellent then. So, we’d take some firewood and our friends and their families and sit by the sea and get [food] to grill, someone would bring meat, someone would bring fish, and we’d have dinner. So these were lovely days with the kids, with…</div>

<div class=""questionTranscript"">Salama: Although there are some people on Dalma who complain that there aren’t things to do for fun in Dalma, but what I’ve noticed is that there are people who are able to have a good time and make their kids happy even if there aren’t activities like [those] in the cities.</div>

<div class=""answerTranscript"">Fathi: I’m a firm believer that every person should engage with the environment they live in. Any environment. If you live in the desert, you engage with the desert. For instance, our ancestors, the Bedouins, would engage with the desert. What did they have? They had the tent and the camel and the herd, and they were living the best life, and they were satisfied [with this]. I live in Dalma because I’ve adapted to Dalma. What are the modes of entertainment I have here in Dalma? The sea. So, I can go to the sea, I can go to the gardens, I can go to the mountains and climb there, see the rocks. I’ve probably gone around every corner of Dalma, there’s not a spot I haven’t been to. For the sake of study and knowledge and work and culture. I even taught my kids how to examine [nature], for instance, what’s this stone? What color is it? “This stone is red,” or “this stone is green,” why is this one red and that one green? Why are these stones in Dalma? I fostered in my kids a love for mountains and the sea and studying [nature]. So, a person needs to adapt to the environment they live in. If I went, for example, to Abu Dhabi, I would also adapt myself to Abu Dhabi.</div>",
