id,locationName,latitude,longitude,description,Topics,SubjectTags,CompiledTags,Text,NameofAudioFile,NamesofImages,LinktoAudio,LinktoImages,transcript
1,Al Dafna (Ras Al Mashia before),24.450503,52.312675,"It used to be called ""Ancient Head of Cattle,"" but is now called ""The Burial"" because it is an area that has been buried. It is a vast area in the southern part of Dalma Island covered with white sand. ",,,,,,,,,
2,New Delma,24.480967,52.309242,"This region is distinguished by being the first neighborhood that includes the popular houses that Sheikh Zayed, may God have mercy on him, ordered to build in the 1970s. These were built for the citizens of Delma Island, and many of these house are abandonnned now as people have moved to Abu Dhabi for jobs. The people of Delma call it the New Land",,,,,,,,,
3,The Old Souq,24.481992,52.305111,"The Old Souq was located in an area close to the island's residents and close to the sea, where divers used to take their supplies. It is now an empty lot.",,,,,,,,,
4,Old Delma,24.482308,52.304803,It is considered the living residential area of ​​Dalma Island before the establishment of the Union. The people of Delma called it the Old Land after they moved to the new housing when the Union was established. Some old walls remain. ,,,,,,,,,
5,Shu'obat Hazim,24.491103,52.308858,"In English, ""The Division."" These are the places where rainwater collects and runs between mountains. The Hazim Division used to collect rainwater and drain into the sea.",,,,,,,,,
6,Al Qattara,24.484153,52.310008,A group of bitter water wells that were used by the people of Delma for purposes other than drinking. They were characterized by their coldness in the summer.,,,,,,,,,
7,Delma Graveyard,24.485214,52.303801,"The cemetery contains many artifacts from the modern Islamic era. It was still used as a cemetery until the early nineties, and then closed after artifacts were found and included under the archaeological sites on Dalma Island.",,,,,,,,,
8,Abu Umama Mountain,24.488428,52.298781,"A relatively small mountain located near the island's coast. Arrivals to Dalma were greeted by this prominent mountain. There are two legends surrounding the mountain's name: the first being that it was wrapped up in the old white ship sails so that it could be seen from afar as if it was wearing a turban, and second that its upper part stands out as if it were a turban. Now the mountain is part  of the Palace of His Highness Sheikh Zayed, may God have mercy on him.",,,,,,,,,
9,Ras Al Hiyam,24.487592,52.293833,"One of the beaches of Delma Island, which roughly translates into Head of the Wanderer.",,,,,,,,,
10,Al Biyadha,24.519753,52.287456,A beautiful beach characterized by white sand that extends to area of gypsum. The name means The Egg in English and is called that because of its white sands.,,,,,,,,,
11,Ras Aljibs Algharbi,24.509497,52.280831,This beach's name means Western Gypsum Head in English. It extends until the beginning of the new resort project. We have not yet found a reason or meaning for this designation yet.,,,,,,,,,
12,Um Al Qawaser,24.525431,52.290681,A beautiful beach which translates to The Mother of Al-Qawasir. It is characterized by huge stones along the beach. We have not found a reason or meaning for this designation yet.,,,,,,,,,
13,Fuhaiheel,24.529686,52.293167,"A beach on Delma, where some palm trees are planted. Shamma Hazeem Al Qubaisi states that her mother, Banana Al Qubaisi, planted the palm trees here. There was drinking water in this place and divers came to gather water supply from it.",,,,,,,,,
14,Khourat Atiya,24.536101,52.296058,Al-Khora means the abundant area of ​​the sea.  Khorat-Atiya is one of the sites that Delma residents go to fish. The mountain facing this beach also has the same name.  There is no record explaining of the origins of the name.,,,,,,,,,
15,Khourat Atiyya's Mountain,24.532106,52.299278,The mountain opposite Khorat Atiya close to the shore.,,,,,,,,,
16,Ras Halloum,24.537181,52.303189,One of the mountains facing one of the beaches on Delma. The reason for such naming is not yet known.,,,,,,,,,
17,Qassar Abu Al Thorouq,24.540822,52.313883,"It is the huge rock in the middle of the sea, and its upper part appears on the surface of the sea. This part was called Abu Al-Drouk because birds gathered and lived on it.",,,,,,,,,
18,Khourat Yaeed,24.537756,52.319828,"A pool of sea water that is a deep lake surrounded by mangroves. Saeed Bin Gharib Al Mazrouei, a resident of Dalma Island, brought it from Sir Bani Yas Island and cultivated it on Delma.",,,,,,,,,
19,Ras Al Jibs Al Sharqi,24.528411,52.333956,One of the beaches of the island.,,,,,,,,,
20,Al Miyyanna,24.523783,52.334933,"A beach near Delma Island Airport. Previously, when the tide went out, men entered with baskets and gathered oysters near this beach.",,,,,,,,,
21,Jarn Al Safafeer Mountain,24.490225,52.319283,"It is a prominent mountain on Delma Island. Geographers mention that it is a dormant volcano. In the middle of the mountain was a large and deep opening that has recently been buried. ""Sapphires Zero,"" its name in English, is a nickname for  copper metal. It may have once been where coppersmiths, those that manufacture, amend, and polish copper vessels, lived.",,,,,,,,,
22,Al Manyoukh Mountain,24.503083,52.328375,"A mountain on Delma Island facing the beach. The women remember they used to collect firewood here, but the night came upon them, and they lost their way back. They went to this mountain and chanted ""We are your guests, the claymen."" This happened until one of the men noticed their absence and found them.",Gender,"Museums,English Writing,Slavery,Education,Food,Medical","Museums,English Writing,Arabic Writing/Calligraphy,Education,Food,Archaeology and History,Maritime Economy",,,,,,
